Label,Discription,Price,Currency,Location,Catagory,Image
1999 Mercedes-Benz C-Class 1.8L gas,1999 Year 250000 km Gasoline,7000,USD,Erebuni,1,https://s.list.am/g/225/67536225.webp
2019 Toyota Camry 2.5L,2019 Year 47000 km Gasoline,36500,USD,Kentron,1,https://s.list.am/g/342/68560342.webp
2019 Kia Optima 2.4L,2019 Year 72000 miles Gasoline,22000,USD,Nubarashen,1,https://s.list.am/g/934/66416934.webp
2019 Tesla Model 3 electric all wheel drive,2019 Year 61000 km Electric,36500,USD,Kentron,1,https://s.list.am/g/719/66116719.webp
2020 Toyota RAV4 2.5L all wheel drive,2020 Year 41000 miles Gasoline,31500,USD,Kentron,1,https://s.list.am/g/538/70041538.webp
2018 Tesla Model 3 electric,2018 Year 39000 miles Electric,32000,USD,Kentron,1,https://s.list.am/g/837/64248837.webp
2019 Porsche Cayenne 3.0L all wheel drive,2019 Year 29000 km Gasoline,91000,USD,Kentron,1,https://s.list.am/g/821/70182821.webp
2016 Nissan Rogue 2.5L all wheel drive,2016 Year 114000 km Gasoline,17000,USD,Echmiadzin,1,https://s.list.am/g/205/69662205.webp
1999 Ford Transit 2.4L diesel,1999 Year 242000 km Diesel,5800,USD,Echmiadzin,1,https://s.list.am/g/422/69547422.webp
2018 Toyota RAV4 2.5L gas,2018 Year 52000 km Gasoline,21000,USD,Davitashen,1,https://s.list.am/g/345/69846345.webp
2003 Nissan X-Trail 2.0L all wheel drive gas,2003 Year 234000 km Gasoline,6500,USD,Davitashen,1,https://s.list.am/g/609/70214609.webp
2009 Mercedes-Benz G-Class 5.0L all wheel drive gas,2009 Year 147000 km Gasoline,52000,USD,Kentron,1,https://s.list.am/g/503/69519503.webp
2021 BMW X3 2.0L,2021 Year 24798 miles Gasoline,31900,USD,On The Way,1,https://s.list.am/g/916/69695916.webp
2019 Nissan Rogue Sport 2.0L,2019 Year 106843 miles Gasoline,16500,USD,On The Way,1,https://s.list.am/g/944/69903944.webp
2014 Chevrolet Volt 1.4L hybrid,2014 Year 142000 km Hybrid,12200,USD,Artashat,1,https://s.list.am/g/936/63237936.webp
2020 Hyundai Sonata 1.6L,2020 Year 38334 km Gasoline,20500,USD,On The Way,1,https://s.list.am/g/923/69957923.webp
2021 Jeep Compass 2.4L,2021 Year 10000 miles Gasoline,27000,USD,Artashat,1,https://s.list.am/g/843/68270843.webp
2012 Ford Fusion (North America) 2.5L,2012 Year 105000 miles Gasoline,11000,USD,Kentron,1,https://s.list.am/g/842/69415842.webp
2015 BMW 4 Series coupe 2.0L all wheel drive,2015 Year 140000 km Gasoline,22400,USD,Kentron,1,https://s.list.am/g/836/69415836.webp
2003 Kia Sorento 3.5L all wheel drive gas,2003 Year 130000 km Gasoline,2800000,AMD,Sisian,1,https://s.list.am/g/235/65977235.webp
2021 Toyota Camry 2.5L,2021 Year 32000 miles Gasoline,38500,USD,Kentron,1,https://s.list.am/g/828/69415828.webp
2019 Mercedes-Benz A-Class 2.0L all wheel drive,2019 Year 47523 miles Gasoline,28900,USD,On The Way,1,https://s.list.am/g/755/69541755.webp
2021 Mazda CX-5 2.5L,2021 Year 46094 miles Gasoline,19900,USD,On The Way,1,https://s.list.am/g/103/69669103.webp
1995 Opel Corsa hatchback 1.2L gas,1995 Year 180000 km Gasoline,3200,USD,Abovian,1,https://s.list.am/g/401/68642401.webp
2007 Mercedes-Benz C-Class 3.0L all wheel drive,2007 Year 98000 miles Gasoline,11500,USD,Nor Nork,1,https://s.list.am/g/210/70472210.webp
2011 BMW X5 4.4L all wheel drive,2011 Year 208000 km Gasoline,15800,USD,Arabkir,1,https://s.list.am/g/431/59512431.webp
2013 Hyundai Elantra 1.8L,2013 Year 135000 km Gasoline,6600,USD,Kentron,1,https://s.list.am/g/979/68020979.webp
2005 Lexus LX 4.7L all wheel drive gas,2005 Year 169800 miles Gasoline,31600,USD,Nor Nork,1,https://s.list.am/g/473/65229473.webp
2001 Opel Astra 1.6L gas,2001 Year 306000 km Gasoline,4200,USD,Vanadzor,1,https://s.list.am/g/473/70147473.webp
2017 Ford Focus hatchback 2.0L,2017 Year 125000 km Gasoline,8200,USD,Artashat,1,https://s.list.am/g/419/68987419.webp
2002 Toyota Altezza wagon 2.0L gas,2002 Year 212000 km Gasoline,5600,USD,Arabkir,1,https://s.list.am/g/169/70560169.webp
2015 Toyota Camry 2.5L gas,2015 Year 174000 km Gasoline,17500,USD,Artashat,1,https://s.list.am/g/736/69723736.webp
2021 Mazda CX-9 2.5L all wheel drive,2021 Year 32000 km Gasoline,43000,USD,Kentron,1,https://s.list.am/g/194/69683194.webp
2000 Toyota Fun Cargo 1.5L gas,2000 Year 157000 km Gasoline,5000,USD,Arabkir,1,https://s.list.am/g/175/70560175.webp
2009 Mercedes-Benz ML 3.5L all wheel drive gas,2009 Year 300000 km Gasoline,14200,USD,Kentron,1,https://s.list.am/g/090/66601090.webp
2000 GAZ (ГАЗ) ГАЗель wagon 2.4L gas,2000 Year 100000 km Gasoline,500000,AMD,Echmiadzin,1,https://s.list.am/g/335/70372335.webp
2000 GAZ (ГАЗ) ГАЗель 2.5L gas,2000 Year 100000 km Gasoline,1200000,AMD,Echmiadzin,1,https://s.list.am/g/104/70372104.webp
2013 VAZ (Lada) Priora 1.6L gas,2013 Year 200000 km Gasoline,5400,USD,Lusashogh,1,https://s.list.am/g/435/66572435.webp
1999 BMW 3 Series 1.9L gas,1999 Year 360000 km Gasoline,6000,USD,Lusashogh,1,https://s.list.am/g/045/65069045.webp
2008 Lexus IS 2.5L,2008 Year 184000 km Gasoline,11300,USD,Malatia-Sebastia,1,https://s.list.am/g/851/68629851.webp
2011 Nissan Versa 1.8L gas,2011 Year 130000 miles Gasoline,7700,USD,Avan,1,https://s.list.am/g/930/70687930.webp
2000 Mercedes-Benz C-Class 1.8L gas,2000 Year 220000 km Gasoline,2500000,AMD,Dilijan,1,https://s.list.am/g/029/70187029.webp
2018 Nissan Rogue 2.5L all wheel drive,2018 Year 38913 miles Gasoline,18500,USD,Nor Nork,1,https://s.list.am/g/910/70682910.webp
1999 Opel Astra hatchback 1.6L gas,1999 Year 195000 km Gasoline,4500,USD,Malatia-Sebastia,1,https://s.list.am/g/448/69809448.webp
2008 Porsche Cayenne 3.6L all wheel drive,2008 Year 170000 km Gasoline,16400,USD,Charentsavan,1,https://s.list.am/g/437/66666437.webp
2008 BMW X6 4.4L all wheel drive,2008 Year 210000 km Gasoline,18400,USD,Charentsavan,1,https://s.list.am/g/515/66666515.webp
1999 Mercedes-Benz Vito 2.2L diesel,1999 Year 200000 km Diesel,5000,USD,Alaverdi,1,https://s.list.am/g/360/69784360.webp
1994 Mercedes-Benz C-Class 1.8L gas,1994 Year 500000 km Gasoline,3500,USD,Echmiadzin,1,https://s.list.am/g/477/70887477.webp
2017 Hyundai Elantra 2.0L,2017 Year 151000 km Gasoline,16000,USD,Shengavit,1,https://s.list.am/g/468/70887468.webp
2007 BMW 3 Series 3.0L,2007 Year 170000 km Gasoline,8500,USD,Nor Nork,1,https://s.list.am/g/463/70887463.webp
2005 Nissan Note hatchback 1.5L gas,2005 Year 187000 km Gasoline,4600,USD,Malatia-Sebastia,1,https://s.list.am/g/710/64619710.webp
2013 Hyundai Elantra 1.8L gas,2013 Year 150000 km Gasoline,4500000,AMD,Erebuni,1,https://s.list.am/g/384/69598384.webp
2010 Mercedes-Benz E-Class 3.5L gas,2010 Year 215000 km Gasoline,18000,USD,Artik,1,https://s.list.am/g/601/69780601.webp
2013 Toyota Camry 2.5L,2013 Year 111000 km Gasoline,15500,USD,Erebuni,1,https://s.list.am/g/734/69656734.webp
2007 Infiniti FX35 3.5L all wheel drive gas,2007 Year 177000 km Gasoline,11800,USD,Ajapnyak,1,https://s.list.am/g/408/68691408.webp
1991 Mercedes-Benz W124 2.0L gas,1991 Year 250000 km Gasoline,400000,AMD,Artik,1,https://s.list.am/g/464/65723464.webp
2008 Chrysler 300C 2.7L gas,2008 Year 190000 km Gasoline,12000,USD,Malatia-Sebastia,1,https://s.list.am/g/327/65995327.webp
2020 Kia Forte 2.0L,2020 Year 31000 miles Gasoline,20000,USD,Shengavit,1,https://s.list.am/g/436/70887436.webp
2009 Mercedes-Benz ML 3.5L all wheel drive gas,2009 Year 300000 km Gasoline,14200,USD,Kentron,1,https://s.list.am/g/034/65009034.webp
2013 Tesla Model S electric,2013 Year 110000 miles Electric,28900,USD,Malatia-Sebastia,1,https://s.list.am/g/520/68788520.webp
2013 Land Rover Range Rover 4.4L diesel all wheel drive,2013 Year 140000 km Diesel,53500,USD,Armavir,1,https://s.list.am/g/700/67711700.webp
2006 Mercedes-Benz S-Class 3.5L,2006 Year 220000 km Gasoline,13900,USD,Arabkir,1,https://s.list.am/g/354/55014354.webp
2017 BMW 3 Series 2.0L,2017 Year 139000 km Gasoline,21500,USD,Armavir,1,https://s.list.am/g/064/70526064.webp
2003 Mazda Demio hatchback 1.5L gas,2003 Year 120000 km Gasoline,5500,USD,Malatia-Sebastia,1,https://s.list.am/g/160/60886160.webp
1999 Opel Astra hatchback 1.6L gas,1999 Year 275345 km Gasoline,3800,USD,Malatia-Sebastia,1,https://s.list.am/g/052/70172052.webp
2008 BMW X6 3.0L all wheel drive,2008 Year 170000 km Gasoline,22000,USD,Avan,1,https://s.list.am/g/853/70115853.webp
2017 Hyundai Elantra 2.0L,2017 Year 98000 km Gasoline,14500,USD,Sevan,1,https://s.list.am/g/974/69908974.webp
2012 Land Rover Range Rover Sport 3.0L diesel all wheel drive,2012 Year 231007 km Diesel,23000,USD,Hrazdan,1,https://s.list.am/g/907/70626907.webp
2014 Mazda 6 2.5L,2014 Year 80000 km Gasoline,13500,USD,Aragatsavan,1,https://s.list.am/g/233/68790233.webp
2018 Honda Accord 1.5L,2018 Year 25000 miles Gasoline,24900,USD,Avan,1,https://s.list.am/g/388/67435388.webp
1994 Volkswagen Golf hatchback 1.6L gas,1994 Year 345000 km Gasoline,600000,AMD,Artashat,1,https://s.list.am/g/979/67491979.webp
2003 Opel Zafira 1.8L gas,2003 Year 217000 km Gasoline,7200,USD,Masis,1,https://s.list.am/g/577/69931577.webp
2004 Mitsubishi Lancer 1.6L gas,2004 Year 350000 km Gasoline,1400000,AMD,Arabkir,1,https://s.list.am/g/101/68096101.webp
1996 GAZ (ГАЗ) 2.1L diesel gas,1996 Year 300000 km Diesel,400000,AMD,Ajapnyak,1,https://s.list.am/g/095/56515095.webp
2016 VAZ (Lada) 2121 Niva 1.9L all wheel drive,2016 Year 112000 km Gasoline,10300,USD,Erebuni,1,https://s.list.am/g/908/70487908.webp
2007 Daewoo Nexia 1.6L,2007 Year 260000 km Gasoline,200000,AMD,Tashir,1,https://s.list.am/g/070/68560070.webp
2020 Toyota Camry 2.5L,2020 Year 15000 km Gasoline,37000,USD,Arabkir,1,https://s.list.am/g/395/69179395.webp
